,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165.1,,,,,1162.2,,,,,1159.7,,,,,,,,,,,,,,,,,,,,
,1847.9,,1846.5,,1845.2,,1844.3,,1843.2,,,,,,,,,,,,682.8,,682.9,,683.0,,683.4,,683.5,
,,,,,1845.3,,,,,,,,,,,,,,,,,,,,683.1,,,,,
,1845.8,,1845.9,,1845.5,,1845.1,,1842.9,,,,,,,,,,,,682.8,,683.2,,683.3,,684.9,,683.7,
,,,,,1845.6,,,,,,,,,,,,,,,,,,,,683.4,,,,,
1160.9,1844.3,1845.3,1846.0,1845.8,1845.8,1845.7,1844.9,1844.1,1842.6,1158.8,,,,,,,,,,,683.4,684.4,685.1,684.9,684.8,686.9,686.1,685.3,683.8,
,,,,,1845.6,,,,,,,,,,,,,,,,,,,,685.4,,,,,
,1844.3,,1845.6,,1845.1,,1844.7,,1842.7,,,,,,,,,,,,683.1,,684.7,,684.9,,685.2,,683.6,
,,,,,1844.3,,,,,,,,,,,,,,,,,,,,684.1,,,,,
,1844.9,,1844.1,,1843.5,,1843.1,,1843.1,,,,,,,,,,,,683.3,,683.2,,683.3,,683.3,,683.6,
1161.6,,,,,1160.2,,,,,1159.5,,,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,682.9,,683.1,,683.5,,683.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,683.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,683.8,,684.1,,684.9,,684.7,,,,,,,,,,,,,,,,,,,,,,
,,,684.8,,,,686.1,,,,,,,,,,,,,,,,,,,,,,,
,,684.1,,685.0,,685.6,,684.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,684.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,683.6,,684.0,,684.2,,683.9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
