,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163.9,,,,,1163.1,,,,,1162.9,,,,,,,,,,,,,,,,,,,,
,1844.5,,1846.3,,1846.0,,1846.0,,1845.0,,,,,,,,,,,,680.6,,682.8,,682.9,,683.0,,682.1,
,,,,,1846.0,,,,,,,,,,,,,,,,,,,,682.9,,,,,
,1845.5,,1844.9,,1845.4,,1845.5,,1845.0,,,,,,,,,,,,682.6,,681.9,,682.3,,683.2,,683.1,
,,,,,1844.9,,,,,,,,,,,,,,,,,,,,681.8,,,,,
1162.0,1845.1,1845.4,1845.0,1844.6,1844.5,1844.4,1844.6,1844.9,1844.4,1160.9,,,,,,,,,,,683.1,683.4,683.0,682.6,682.2,683.5,683.7,684.0,683.5,
,,,,,1844.5,,,,,,,,,,,,,,,,,,,,682.5,,,,,
,1845.3,,1844.4,,1845.0,,1844.5,,1844.3,,,,,,,,,,,,682.9,,682.1,,683.0,,683.1,,683.3,
,,,,,1845.0,,,,,,,,,,,,,,,,,,,,683.0,,,,,
,1843.0,,1845.1,,1845.0,,1844.3,,1843.4,,,,,,,,,,,,680.2,,682.7,,683.0,,682.7,,682.2,
1162.8,,,,,1162.0,,,,,1161.2,,,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,682.0,,682.6,,682.9,,682.9,,,,,,,,,,,,,,,,,,,,,,
,,,,,682.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,682.8,,682.3,,682.8,,683.5,,,,,,,,,,,,,,,,,,,,,,
,,,683.0,,,,683.7,,,,,,,,,,,,,,,,,,,,,,,
,,682.9,,682.6,,683.0,,683.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,682.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,682.0,,682.8,,683.0,,682.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
